Antwort ID.. ,Welche Software.. [SQ001],Welche Software.. [SQ002],Welche Software.. [SQ003],Welche Software.. [SQ004],Welche Software.. [SQ001],Welche Software.. [SQ002],Welche Software.. [SQ003],Welche Software.. [SQ004],Welche Software.. [SQ001],Welche Software.. [SQ002],Welche Software.. [SQ003],Welche Software.. [SQ004],Welche Software.. [SQ001],Welche Software.. [SQ002],Welche Software.. [SQ003],Welche Software.. [SQ004],Welche Software.. [SQ001],Welche Software.. [SQ002],Welche Software.. [SQ003],Welche Software.. [SQ004]
3,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,
6,MS Word,MS Excel,Citavi,,Citavi,MS Excel,Good Reader (iPad),Dropbox,MS Word,Citavi,Good Reader,,Good Reader (iPad),MS Excel,Citavi,,,,,
7,FileMaker Pro,MS Word,DokuWiki,,FileMaker Pro,Adobe Bridge,MS Word,,DokuWiki,MS Word,,,FileMaker Pro,Adobe Bridge,,,LaTex,MS Word,,
8,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,
14,MS Word,Citavi,,,Gnomon online,Annee philologique,,,,,,,MS Access,,,,MS Word,,,
15,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,
21,Scapple,xMind,Mellel,Word,Word,Bookends,,,Mellel,Word,,,Mellel,Word,,,InDesign,Mellel,Word,
24,MS Word,,,,Bibliothekssoftware,Recherchetools von Datenbanken,,,MS Word,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,
27,MS Word,TheBrain,,,Firefox,Zotero,Copernic Desktop Search,,MS Word,Zotero,TheBrain,,Zotero,MS Word,,,Wordpress,MS Word,,
28,MS Word,Corall Photopaint,MS Excell,HTML,MS Word,Firefox,,,MS Word,,,,MS Word,,,,,,,
29,MS Word,MS Excel,Citavi,Lexican,Mozilla Firefox,MS Word,MS Excel,Citavi,,,,,MS Word,MS Excel,Citavi,Lexican,MS Word,,,
30,MS WORD,Litlink,Acrobat Reader u.ä. ,,MS Word,,,,Litlink ,MS Word,Acrobat Reader,PDF Expert 9,MS Word,MS Excel,Litlink,,MS Word,Acrobat Reader,,
31,,,,,,,,,,,,,,,,,,,,
33,MS Word,MS Excel,,,IrfanView,Photohop,Firefox,Thunderbird,s. o.,,,,s. o.,,,,MS Word,Adobe Illustrator,Adobe Photoshop,
35,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,
37,Word,,,,Word,Berlin Text System,Firefox,,Berlin Text System,,,,Berlin Text System,,,,"Eigene Webseite, TLA",,,
39,,,,,,,,,,,,,,,,,,,,
40,Microsoft Office,Citavi,,,,,,,,,,,,,,,,,,
41,citavi,ms word,ms access,,,,,,citavi,ms access,,,citavi,,,,MS Word,,,
42,Microsoft Office,Google,,,Google,Bibliothekskataloge,,,Microsoft Office,,,,,,,,word,,,
45,ms word,openoffice,,,firefox,,,,,,,,,,,,,,,
46,word,excell,pp,,word,,,,,,,,zotero,,,,alfresco,,,
48,,,,,,,,,,,,,MS Word,,,,,,,
49,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,ms word,,,,ms word,,,,ms word,,,
52,MS Word,,,,MS Word,Mozilla Firefox,Litlink,,MS Word,,,,MS Word,Litlink,MS Access,,MS Word,LaTeX,,
53,MS Word,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,
57,Open Office /word,Citavi,,,Ub katalog,Mla Datenbank,Twitter,,,,,,Citavi,,,,Word,,,
58,Citavi,,,,Bibliothekskatalog,,,,,,,,,,,,,,,
59,citavi,endnote,Word,,,,,,,,,,Endnote,Word,,,,,,
60,Word,Ms One Note,Outlook,Citavi,,,,,Word,One Note,Outlook,Citavi,,,,,,,,
62,word,citavi,,,word,citavi,,,word,citavi,,,word,,,,word,,,
63,,,,,Open Office,,,,,,,,Open Office,,,,,,,
64,MS Word,Open Office Writer,,,Google,,,,OpenOffice,,,,OpenOffice,,,,,,,
66,Open office,,,,Firefox,,,,Open office,,,,Open office,Firefox,,,,,,
68,Internetbrowser,Word,Excellence,,Internetbrowser,Word,Excellence,Datenbanken,Internetbrowser,Word,Excellence,Datenbanken,Internetbrowser,Word,Excell,Citavi,Word,,,
69,Word,Adobe,Citavi,,Word,Adobe,Citavi,,Citavi,,,,,,,,,,,
72,,,,,Ms-word,Wikipedia,Deutsches digitales archiv,,,,,,,,,,Ms-word,Wikipedia,Deutsches digitales archiv,
74,Ms Word,Citavi,,,,,,,,,,,Ms word,,,,,,,
75,Ms Word,Ms excel,Ms powerpoint,,,,,,Ms word,,,,Ms word,Ms excel,My sql,,Ms word,,,
